,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
0,C01,,,,4.0,,,,,,7.0,,,,1.0,6.0
1,C02,,,4.0,6.0,,1.0,,7.0,,4.0,11.0,10.0,2.0,4.0,
2,C03,,1.0,1.0,,,,6.0,,10.0,,,4.0,5.0,,1.0
3,C04,,,3.0,,,4.0,,6.0,1.0,,12.0,,,,3.0
4,C05,,,,,2.0,10.0,,10.0,,1.0,3.0,3.0,,,
5,C06,2.0,,,,,,7.0,,,,,,,,
6,C07,,,,,,,,,5.0,,,,,,
7,C08,4.0,4.0,,,3.0,,,,6.0,,,7.0,7.0,9.0,
8,C09,,,,,,2.0,8.0,,,2.0,6.0,,4.0,,8.0
9,C10,10.0,,2.0,,,,,,7.0,3.0,,8.0,,5.0,
10,C11,9.0,,,,1.0,,,,,,9.0,,,,
11,C12,11.0,2.0,8.0,,5.0,7.0,,,3.0,6.0,,6.0,,,
12,C13,,,,,,,,,,5.0,10.0,1.0,1.0,,7.0
13,C14,,,,,,,,4.0,,,,,,11.0,4.0
14,C15,,,,,4.0,,1.0,,,,,5.0,9.0,,
15,C16,,7.0,,9.0,7.0,,2.0,,2.0,,1.0,2.0,,6.0,
16,C17,,,7.0,,,,,,,,,9.0,,,
17,C18,,,5.0,,,,,8.0,,,4.0,,,7.0,
18,C19,,,,,6.0,6.0,9.0,1.0,,,2.0,,,,9.0
19,C20,,5.0,,,,,3.0,2.0,,,5.0,,6.0,,2.0
20,C21,7.0,3.0,,,,,,,,,8.0,,8.0,,
21,C22,,,,,,5.0,,,,,,,,,5.0
22,C23,5.0,,,,,3.0,,,,,,,,,
23,C24,3.0,6.0,,1.0,,,,,,,,,3.0,3.0,
24,C25,8.0,,6.0,,,,,3.0,,,,,,,
25,C26,,,,3.0,,8.0,,12.0,,,,,,2.0,
26,C27,,,,8.0,,,,,,,,,,,
27,C28,,,,7.0,,,,5.0,4.0,,,,,,
28,C29,6.0,,,5.0,,,4.0,9.0,9.0,,7.0,,,10.0,
29,C30,1.0,,,2.0,,9.0,5.0,11.0,8.0,,13.0,,,8.0,
