,CourseID,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
0,C01,,4.0,,,8.0,,3.0,,,,7.0,,5.0,,3.0
1,C02,,,,2.0,3.0,4.0,4.0,1.0,7.0,1.0,,,,,
2,C03,,,,,4.0,,,,,,,,,,
3,C04,,1.0,,,,,9.0,,,,,2.0,,,
4,C05,,7.0,6.0,,,1.0,,2.0,,,1.0,,,7.0,
5,C06,,,2.0,,1.0,,2.0,,,,,1.0,1.0,2.0,
6,C07,1.0,2.0,,,,3.0,,3.0,1.0,,,4.0,,3.0,7.0
7,C08,,3.0,3.0,,,2.0,,,5.0,,,,,4.0,
8,C09,,,4.0,,,,7.0,5.0,,,2.0,,9.0,,
9,C10,,5.0,1.0,,,,,,,,,,,1.0,
10,C11,,,,4.0,6.0,,,4.0,,3.0,6.0,,,,
11,C12,3.0,6.0,,,,,,7.0,,2.0,3.0,3.0,,,
12,C13,,,,,2.0,,5.0,,,4.0,,,,,5.0
13,C14,,,,1.0,,,,,6.0,,4.0,,,,
14,C15,2.0,,,,,,,,,,,,2.0,,
15,C16,,,,3.0,,,,,,,,,7.0,8.0,
16,C17,,,,,,,,,9.0,,,,,,
17,C18,,,,,,,1.0,6.0,,,,,,,
18,C19,,,,,11.0,,,,2.0,,,,,6.0,
19,C20,,,,,,,,,3.0,,5.0,,,5.0,
20,C21,,,,,,,10.0,,,,8.0,,,,
21,C22,4.0,,,,7.0,,6.0,,,,,,,,
22,C23,,,,,5.0,,,,,,,,8.0,,6.0
23,C24,,,,,,,,,,,,,3.0,,
24,C25,,,,,10.0,,8.0,,,,,,,,4.0
25,C26,,,,,,,,,,,,,,,8.0
26,C27,,,5.0,,,,,,8.0,,,,,,
27,C28,,,7.0,,,,,,,,,,6.0,,
28,C29,,,,,12.0,,,,,,,,4.0,,
29,C30,,,8.0,,,,,,,,,,,,
30,C31,,,,,,,,,,,,,,,
31,C32,,,,,13.0,,,,,,,,,,
32,C33,,,,,9.0,,,,4.0,,,,,,2.0
33,C34,,,9.0,,,,,,,,,,,,1.0
34,C35,,,,,,,,,11.0,,,,,,
35,C36,,,,,,,,,,,,,,,
36,C37,,,,,,,,,10.0,,,,,,
37,C38,,,,,,,,,13.0,,,,,,
38,C39,,,,,,,,,,,,,,,
39,C40,,,,,,,,,,,,,,,
40,C41,,,,,,,,,,,,,,,
41,C42,,,,,,,,,12.0,,,,,,
42,C43,,,,,,,,,,,,,,,
43,C44,,,,,,,,,,,,,,,
44,C45,,,,,,,,,,,,,,,
45,C46,,,,,,,,,,,,,,,
46,C47,,,,,,,,,,,,,,,
47,C48,,,,,,,,,,,,,,,
48,C49,,,,,,,,,,,,,,,
49,C50,,,,,,,,,,,,,,,
