,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,12
1,T02,Teacher 02,11
2,T03,Teacher 03,12
3,T04,Teacher 04,7
4,T05,Teacher 05,11
5,T06,Teacher 06,13
6,T07,Teacher 07,12
7,T08,Teacher 08,7
8,T09,Teacher 09,12
9,T10,Teacher 10,9
10,T11,Teacher 11,9
11,T12,Teacher 12,13
12,T13,Teacher 13,12
13,T14,Teacher 14,10
14,T15,Teacher 15,9
15,T16,Teacher 16,8
16,T17,Teacher 17,13
17,T18,Teacher 18,11
18,T19,Teacher 19,11
19,T20,Teacher 20,10
20,T21,Teacher 21,13
21,T22,Teacher 22,13
22,T23,Teacher 23,7
23,T24,Teacher 24,10
24,T25,Teacher 25,10
25,T26,Teacher 26,11
26,T27,Teacher 27,10
27,T28,Teacher 28,8
28,T29,Teacher 29,9
29,T30,Teacher 30,11
