,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,1
1,T02,Teacher 02,1
2,T03,Teacher 03,2
3,T04,Teacher 04,2
4,T05,Teacher 05,1
5,T06,Teacher 06,1
6,T07,Teacher 07,2
7,T08,Teacher 08,1
8,T09,Teacher 09,1
9,T10,Teacher 10,2
10,T11,Teacher 11,1
11,T12,Teacher 12,2
12,T13,Teacher 13,2
13,T14,Teacher 14,2
14,T15,Teacher 15,2
15,T16,Teacher 16,2
16,T17,Teacher 17,1
17,T18,Teacher 18,1
18,T19,Teacher 19,2
19,T20,Teacher 20,2
20,T21,Teacher 21,2
21,T22,Teacher 22,1
22,T23,Teacher 23,1
23,T24,Teacher 24,1
24,T25,Teacher 25,2
25,T26,Teacher 26,2
26,T27,Teacher 27,2
27,T28,Teacher 28,2
28,T29,Teacher 29,2
29,T30,Teacher 30,1
30,T31,Teacher 31,2
31,T32,Teacher 32,2
32,T33,Teacher 33,1
33,T34,Teacher 34,1
34,T35,Teacher 35,2
35,T36,Teacher 36,1
36,T37,Teacher 37,2
37,T38,Teacher 38,1
38,T39,Teacher 39,1
39,T40,Teacher 40,2
40,T41,Teacher 41,2
41,T42,Teacher 42,2
42,T43,Teacher 43,1
43,T44,Teacher 44,1
44,T45,Teacher 45,1
45,T46,Teacher 46,2
46,T47,Teacher 47,1
47,T48,Teacher 48,2
48,T49,Teacher 49,2
49,T50,Teacher 50,2
