,CourseID,Course Name,Basic,No. Classes
0,C01,Course 01,0,
1,C02,Course 02,1,
2,C03,Course 03,1,3.0
3,C04,Course 04,1,2.0
4,C05,Course 05,1,2.0
5,C06,Course 06,1,1.0
6,C07,Course 07,1,3.0
7,C08,Course 08,1,3.0
8,C09,Course 09,0,3.0
9,C10,Course 10,0,1.0
10,C11,Course 11,0,3.0
11,C12,Course 12,1,2.0
12,C13,Course 13,1,2.0
13,C14,Course 14,1,3.0
14,C15,Course 15,1,2.0
15,C16,Course 16,1,2.0
16,C17,Course 17,1,
17,C18,Course 18,1,2.0
18,C19,Course 19,1,3.0
19,C20,Course 20,1,2.0
20,C21,Course 21,0,3.0
21,C22,Course 22,1,2.0
22,C23,Course 23,0,3.0
23,C24,Course 24,0,2.0
24,C25,Course 25,1,
25,C26,Course 26,1,1.0
26,C27,Course 27,1,
27,C28,Course 28,0,3.0
28,C29,Course 29,0,2.0
29,C30,Course 30,1,
30,C31,Course 31,1,3.0
31,C32,Course 32,0,3.0
32,C33,Course 33,1,3.0
33,C34,Course 34,0,2.0
34,C35,Course 35,0,3.0
35,C36,Course 36,0,3.0
36,C37,Course 37,1,3.0
37,C38,Course 38,1,2.0
38,C39,Course 39,1,3.0
39,C40,Course 40,0,3.0
40,C41,Course 41,1,2.0
41,C42,Course 42,0,2.0
42,C43,Course 43,0,2.0
43,C44,Course 44,1,2.0
44,C45,Course 45,1,
45,C46,Course 46,1,
46,C47,Course 47,1,2.0
47,C48,Course 48,1,2.0
48,C49,Course 49,1,2.0
49,C50,Course 50,1,
50,C51,Course 51,1,3.0
51,C52,Course 52,0,3.0
52,C53,Course 53,1,2.0
53,C54,Course 54,0,3.0
54,C55,Course 55,1,1.0
55,C56,Course 56,1,2.0
56,C57,Course 57,1,1.0
57,C58,Course 58,1,
58,C59,Course 59,1,3.0
59,C60,Course 60,1,3.0
60,C61,Course 61,1,1.0
61,C62,Course 62,1,3.0
62,C63,Course 63,1,1.0
63,C64,Course 64,0,3.0
64,C65,Course 65,0,2.0
65,C66,Course 66,1,1.0
66,C67,Course 67,0,3.0
67,C68,Course 68,1,3.0
68,C69,Course 69,0,1.0
69,C70,Course 70,0,2.0
70,C71,Course 71,1,2.0
71,C72,Course 72,1,1.0
72,C73,Course 73,1,2.0
73,C74,Course 74,1,2.0
74,C75,Course 75,1,1.0
75,C76,Course 76,1,3.0
76,C77,Course 77,1,3.0
77,C78,Course 78,0,1.0
78,C79,Course 79,0,
79,C80,Course 80,0,3.0
80,C81,Course 81,1,1.0
81,C82,Course 82,0,
82,C83,Course 83,0,2.0
83,C84,Course 84,0,2.0
84,C85,Course 85,1,2.0
85,C86,Course 86,1,
86,C87,Course 87,1,1.0
87,C88,Course 88,1,1.0
88,C89,Course 89,1,3.0
89,C90,Course 90,1,1.0
90,C91,Course 91,0,
91,C92,Course 92,1,2.0
92,C93,Course 93,1,
93,C94,Course 94,0,2.0
94,C95,Course 95,1,1.0
95,C96,Course 96,1,2.0
96,C97,Course 97,1,
97,C98,Course 98,0,3.0
98,C99,Course 99,1,3.0
99,C100,Course 100,0,1.0
100,C101,Course 101,1,3.0
101,C102,Course 102,0,2.0
102,C103,Course 103,1,2.0
103,C104,Course 104,1,2.0
104,C105,Course 105,0,
105,C106,Course 106,0,3.0
106,C107,Course 107,1,3.0
107,C108,Course 108,1,
108,C109,Course 109,1,2.0
109,C110,Course 110,1,1.0
110,C111,Course 111,1,2.0
111,C112,Course 112,0,1.0
112,C113,Course 113,1,3.0
113,C114,Course 114,0,2.0
114,C115,Course 115,1,1.0
115,C116,Course 116,1,
116,C117,Course 117,1,1.0
117,C118,Course 118,0,3.0
118,C119,Course 119,0,1.0
119,C120,Course 120,0,3.0
120,C121,Course 121,1,3.0
121,C122,Course 122,0,1.0
122,C123,Course 123,0,3.0
123,C124,Course 124,0,1.0
124,C125,Course 125,0,
125,C126,Course 126,1,2.0
126,C127,Course 127,1,3.0
127,C128,Course 128,0,2.0
128,C129,Course 129,0,3.0
129,C130,Course 130,1,
