,CourseID,Course Name,Basic,No. Classes
0,C01,Course 01,1,1
1,C02,Course 02,1,1
2,C03,Course 03,1,1
3,C04,Course 04,1,1
4,C05,Course 05,0,1
5,C06,Course 06,1,1
6,C07,Course 07,1,1
7,C08,Course 08,0,1
8,C09,Course 09,1,1
9,C10,Course 10,1,1
10,C11,Course 11,0,1
11,C12,Course 12,1,1
12,C13,Course 13,0,1
13,C14,Course 14,1,1
14,C15,Course 15,1,1
15,C16,Course 16,1,1
16,C17,Course 17,1,1
17,C18,Course 18,1,1
18,C19,Course 19,0,1
19,C20,Course 20,1,1
20,C21,Course 21,1,1
21,C22,Course 22,1,1
22,C23,Course 23,1,1
23,C24,Course 24,1,1
24,C25,Course 25,1,1
25,C26,Course 26,1,1
26,C27,Course 27,1,1
27,C28,Course 28,0,1
28,C29,Course 29,1,1
29,C30,Course 30,1,1
30,C31,Course 31,0,1
31,C32,Course 32,1,1
32,C33,Course 33,1,1
33,C34,Course 34,0,1
34,C35,Course 35,1,1
35,C36,Course 36,1,1
36,C37,Course 37,0,1
37,C38,Course 38,1,1
38,C39,Course 39,0,1
39,C40,Course 40,0,1
40,C41,Course 41,1,1
41,C42,Course 42,1,1
42,C43,Course 43,1,1
43,C44,Course 44,1,1
44,C45,Course 45,1,1
45,C46,Course 46,1,1
46,C47,Course 47,1,1
47,C48,Course 48,1,1
48,C49,Course 49,1,1
49,C50,Course 50,0,1
50,C51,Course 51,1,1
51,C52,Course 52,1,1
52,C53,Course 53,1,1
53,C54,Course 54,1,1
54,C55,Course 55,1,1
55,C56,Course 56,1,1
56,C57,Course 57,1,1
57,C58,Course 58,1,1
58,C59,Course 59,0,1
59,C60,Course 60,1,1
60,C61,Course 61,1,1
61,C62,Course 62,1,1
62,C63,Course 63,1,1
63,C64,Course 64,1,1
64,C65,Course 65,0,1
65,C66,Course 66,1,1
66,C67,Course 67,1,1
67,C68,Course 68,1,1
68,C69,Course 69,1,1
69,C70,Course 70,1,1
70,C71,Course 71,1,1
71,C72,Course 72,1,1
72,C73,Course 73,1,1
73,C74,Course 74,1,1
74,C75,Course 75,0,1
75,C76,Course 76,0,1
76,C77,Course 77,1,1
77,C78,Course 78,1,1
78,C79,Course 79,1,1
79,C80,Course 80,1,1
80,C81,Course 81,1,1
81,C82,Course 82,0,1
82,C83,Course 83,0,1
83,C84,Course 84,0,1
84,C85,Course 85,1,1
85,C86,Course 86,1,1
86,C87,Course 87,1,1
87,C88,Course 88,1,1
88,C89,Course 89,0,1
89,C90,Course 90,0,1
90,C91,Course 91,1,1
91,C92,Course 92,1,1
92,C93,Course 93,1,1
93,C94,Course 94,0,1
94,C95,Course 95,0,1
95,C96,Course 96,1,1
96,C97,Course 97,1,1
97,C98,Course 98,1,1
98,C99,Course 99,1,1
99,C100,Course 100,1,1
100,C101,Course 101,0,1
101,C102,Course 102,0,1
102,C103,Course 103,0,1
103,C104,Course 104,0,1
104,C105,Course 105,1,1
105,C106,Course 106,0,1
106,C107,Course 107,1,1
107,C108,Course 108,0,1
108,C109,Course 109,1,1
109,C110,Course 110,1,1
110,C111,Course 111,1,1
111,C112,Course 112,1,1
