,CourseID,CourseName,Basic,No. Classes
0,C01,Course 01,1.0,2.0
1,C02,Course 02,1.0,2.0
2,C03,Course 03,1.0,2.0
3,C04,Course 04,1.0,1.0
4,C05,Course 05,1.0,3.0
5,C06,Course 06,1.0,2.0
6,C07,Course 07,1.0,1.0
7,C08,Course 08,1.0,4.0
8,C09,Course 09,1.0,1.0
9,C10,Course 10,1.0,3.0
10,C11,Course 11,1.0,4.0
11,C12,Course 12,1.0,2.0
12,C13,Course 13,0.0,2.0
13,C14,Course 14,0.0,2.0
14,C15,Course 15,0.0,2.0
15,C16,Course 16,0.0,2.0
16,C17,Course 17,0.0,2.0
17,C18,Course 18,0.0,2.0
18,C19,Course 19,0.0,2.0
19,C20,Course 20,0.0,2.0
