,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50
0,C01,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,9.0,,,,,3.0,,,11.0,,,,4.0
1,C02,17.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,5.0,,,33.0,,,,20.0,,,2.0,,,,,,,,,,27.0
2,C03,8.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,23.0,2.0,11.0,,,,23.0,3.0,,,,,,22.0,22.0,,10.0,,,,
3,C04,11.0,16.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,35.0,11.0,,,,,13.0,8.0,28.0,12.0,,1.0,,,26.0,7.0,5.0,,,21.0,,16.0
4,C05,39.0,27.0,19.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,29.0,15.0,24.0,,,,7.0,6.0,26.0,1.0,5.0,21.0,,28.0,9.0,2.0,,,,37.0,8.0
5,C06,49.0,15.0,7.0,2.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,8.0,24.0,43.0,18.0,13.0,10.0,,11.0,,9.0,27.0,21.0,7.0,,,29.0,34.0,10.0,3.0,7.0,9.0,,,24.0
6,C07,15.0,9.0,1.0,6.0,19.0,9.0,37.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,9.0,1.0,13.0,1.0,30.0,,10.0,12.0,10.0,9.0,,9.0,,14.0,4.0,1.0,20.0,19.0,5.0,,10.0
7,C08,46.0,17.0,10.0,3.0,22.0,4.0,28.0,4.0,,,,,,,,,,,,,,,,,,,23.0,14.0,30.0,10.0,14.0,9.0,25.0,5.0,,5.0,1.0,31.0,13.0,3.0,22.0,32.0,29.0,8.0,6.0,2.0,17.0,,,19.0
8,C09,48.0,7.0,8.0,9.0,10.0,5.0,24.0,9.0,1.0,,,,,,,,,,,,,,,,,,10.0,,18.0,7.0,3.0,8.0,3.0,33.0,,4.0,13.0,24.0,2.0,4.0,25.0,37.0,24.0,13.0,4.0,4.0,1.0,19.0,14.0,17.0
9,C10,34.0,35.0,15.0,12.0,4.0,2.0,43.0,8.0,8.0,34.0,,,,,,,,,,,,,,,,,25.0,22.0,19.0,8.0,10.0,19.0,18.0,14.0,28.0,14.0,8.0,29.0,11.0,,1.0,36.0,2.0,19.0,,14.0,4.0,22.0,31.0,6.0
10,C11,35.0,25.0,21.0,5.0,16.0,6.0,8.0,3.0,9.0,10.0,12.0,,,,,,,,,,,,,,,,15.0,26.0,3.0,2.0,12.0,6.0,17.0,35.0,50.0,1.0,23.0,3.0,15.0,,10.0,34.0,31.0,24.0,,19.0,16.0,13.0,24.0,29.0
11,C12,16.0,33.0,11.0,7.0,1.0,7.0,1.0,7.0,4.0,13.0,16.0,45.0,,,,,,,,,,,,,,,18.0,25.0,4.0,20.0,9.0,1.0,8.0,39.0,8.0,12.0,10.0,14.0,10.0,,6.0,30.0,9.0,1.0,,18.0,8.0,24.0,33.0,30.0
12,C13,10.0,1.0,5.0,11.0,23.0,1.0,17.0,1.0,22.0,4.0,26.0,1.0,11.0,,,,,,,,,,,,,,2.0,3.0,39.0,3.0,4.0,18.0,11.0,16.0,21.0,17.0,19.0,25.0,8.0,,12.0,13.0,6.0,27.0,,5.0,18.0,25.0,47.0,5.0
13,C14,3.0,26.0,9.0,8.0,14.0,3.0,38.0,6.0,3.0,6.0,30.0,2.0,12.0,5.0,,,,,,,,,,,,,19.0,16.0,41.0,27.0,5.0,22.0,4.0,31.0,19.0,20.0,25.0,15.0,6.0,,23.0,4.0,38.0,20.0,,16.0,21.0,15.0,28.0,1.0
14,C15,19.0,39.0,2.0,10.0,26.0,,2.0,2.0,19.0,17.0,14.0,4.0,4.0,7.0,31.0,,,,,,,,,,,,9.0,8.0,16.0,24.0,8.0,3.0,10.0,2.0,48.0,13.0,14.0,27.0,12.0,,18.0,23.0,1.0,3.0,,23.0,10.0,3.0,36.0,9.0
15,C16,45.0,5.0,18.0,,17.0,,40.0,5.0,7.0,5.0,4.0,8.0,3.0,1.0,55.0,17.0,,,,,,,,,,,21.0,2.0,44.0,14.0,7.0,21.0,32.0,3.0,1.0,3.0,22.0,5.0,4.0,,4.0,18.0,32.0,2.0,,13.0,22.0,2.0,21.0,26.0
16,C17,28.0,10.0,16.0,,15.0,,47.0,,18.0,19.0,29.0,18.0,2.0,10.0,30.0,8.0,5.0,,,,,,,,,,22.0,15.0,13.0,26.0,6.0,25.0,30.0,38.0,27.0,19.0,2.0,17.0,3.0,,3.0,38.0,7.0,15.0,,22.0,28.0,1.0,8.0,20.0
17,C18,22.0,32.0,6.0,,11.0,,15.0,,10.0,29.0,6.0,19.0,10.0,4.0,23.0,40.0,6.0,15.0,,,,,,,,,7.0,27.0,2.0,16.0,11.0,7.0,2.0,1.0,4.0,21.0,21.0,8.0,5.0,,15.0,9.0,4.0,12.0,,12.0,15.0,17.0,45.0,13.0
