,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,1
1,T02,Teacher 02,2
2,T03,Teacher 03,2
3,T04,Teacher 04,3
4,T05,Teacher 05,1
5,T06,Teacher 06,3
6,T07,Teacher 07,1
7,T08,Teacher 08,1
8,T09,Teacher 09,3
9,T10,Teacher 10,3
10,T11,Teacher 11,2
11,T12,Teacher 12,3
12,T13,Teacher 13,2
13,T14,Teacher 14,2
14,T15,Teacher 15,3
15,T16,Teacher 16,1
16,T17,Teacher 17,3
17,T18,Teacher 18,1
18,T19,Teacher 19,2
19,T20,Teacher 20,2
20,T21,Teacher 21,2
21,T22,Teacher 22,3
22,T23,Teacher 23,2
23,T24,Teacher 24,1
24,T25,Teacher 25,3
25,T26,Teacher 26,1
26,T27,Teacher 27,1
27,T28,Teacher 28,3
28,T29,Teacher 29,2
29,T30,Teacher 30,1
30,T31,Teacher 31,3
31,T32,Teacher 32,1
32,T33,Teacher 33,3
33,T34,Teacher 34,1
34,T35,Teacher 35,3
35,T36,Teacher 36,2
36,T37,Teacher 37,1
37,T38,Teacher 38,2
38,T39,Teacher 39,1
39,T40,Teacher 40,3
40,T41,Teacher 41,1
41,T42,Teacher 42,1
42,T43,Teacher 43,2
43,T44,Teacher 44,1
44,T45,Teacher 45,2
45,T46,Teacher 46,3
46,T47,Teacher 47,1
47,T48,Teacher 48,3
48,T49,Teacher 49,2
49,T50,Teacher 50,3
