,CourseID,CourseName,Basic,No. Classes
0,C01,Course 01,0,
1,C02,Course 02,1,1.0
2,C03,Course 03,0,2.0
3,C04,Course 04,0,0.0
4,C05,Course 05,0,
5,C06,Course 06,1,2.0
6,C07,Course 07,0,0.0
7,C08,Course 08,0,2.0
8,C09,Course 09,1,1.0
9,C10,Course 10,0,
10,C11,Course 11,1,3.0
11,C12,Course 12,0,2.0
12,C13,Course 13,0,3.0
13,C14,Course 14,1,
14,C15,Course 15,0,1.0
15,C16,Course 16,0,3.0
16,C17,Course 17,0,1.0
17,C18,Course 18,1,
18,C19,Course 19,1,1.0
19,C20,Course 20,1,
20,C21,Course 21,1,3.0
21,C22,Course 22,0,0.0
22,C23,Course 23,1,0.0
23,C24,Course 24,1,0.0
24,C25,Course 25,1,1.0
25,C26,Course 26,0,1.0
26,C27,Course 27,0,0.0
27,C28,Course 28,1,1.0
28,C29,Course 29,1,3.0
29,C30,Course 30,0,1.0
30,C31,Course 31,1,0.0
31,C32,Course 32,0,2.0
32,C33,Course 33,0,2.0
33,C34,Course 34,1,
34,C35,Course 35,1,3.0
35,C36,Course 36,0,0.0
36,C37,Course 37,0,2.0
37,C38,Course 38,1,
38,C39,Course 39,0,2.0
39,C40,Course 40,0,0.0
40,C41,Course 41,0,
41,C42,Course 42,0,2.0
42,C43,Course 43,1,0.0
43,C44,Course 44,1,1.0
44,C45,Course 45,0,1.0
45,C46,Course 46,0,2.0
46,C47,Course 47,0,1.0
47,C48,Course 48,0,1.0
48,C49,Course 49,0,1.0
49,C50,Course 50,1,2.0
50,C51,Course 51,0,2.0
51,C52,Course 52,1,1.0
52,C53,Course 53,1,2.0
53,C54,Course 54,1,0.0
54,C55,Course 55,0,
55,C56,Course 56,0,
56,C57,Course 57,0,2.0
57,C58,Course 58,0,0.0
58,C59,Course 59,1,3.0
59,C60,Course 60,1,1.0
60,C61,Course 61,1,
61,C62,Course 62,0,0.0
62,C63,Course 63,1,0.0
63,C64,Course 64,1,2.0
64,C65,Course 65,1,0.0
65,C66,Course 66,1,3.0
66,C67,Course 67,1,2.0
67,C68,Course 68,0,2.0
68,C69,Course 69,1,2.0
69,C70,Course 70,0,3.0
70,C71,Course 71,1,1.0
71,C72,Course 72,1,2.0
72,C73,Course 73,1,0.0
73,C74,Course 74,0,0.0
74,C75,Course 75,1,2.0
75,C76,Course 76,1,1.0
76,C77,Course 77,0,1.0
77,C78,Course 78,1,2.0
78,C79,Course 79,1,2.0
79,C80,Course 80,1,
80,C81,Course 81,1,1.0
81,C82,Course 82,1,1.0
82,C83,Course 83,0,3.0
83,C84,Course 84,1,3.0
84,C85,Course 85,0,
85,C86,Course 86,1,0.0
86,C87,Course 87,0,3.0
87,C88,Course 88,0,0.0
88,C89,Course 89,1,
89,C90,Course 90,1,0.0
90,C91,Course 91,0,3.0
91,C92,Course 92,1,2.0
92,C93,Course 93,1,1.0
93,C94,Course 94,0,0.0
94,C95,Course 95,1,2.0
95,C96,Course 96,1,1.0
96,C97,Course 97,1,1.0
97,C98,Course 98,1,2.0
98,C99,Course 99,0,2.0
99,C100,Course 100,1,0.0
100,C101,Course 101,0,1.0
101,C102,Course 102,0,
102,C103,Course 103,1,3.0
103,C104,Course 104,0,2.0
104,C105,Course 105,1,2.0
105,C106,Course 106,1,0.0
106,C107,Course 107,1,0.0
107,C108,Course 108,0,2.0
108,C109,Course 109,1,2.0
109,C110,Course 110,0,2.0
110,C111,Course 111,1,1.0
111,C112,Course 112,0,0.0
112,C113,Course 113,1,1.0
113,C114,Course 114,1,2.0
114,C115,Course 115,1,1.0
115,C116,Course 116,0,2.0
116,C117,Course 117,1,0.0
117,C118,Course 118,0,1.0
118,C119,Course 119,1,1.0
119,C120,Course 120,1,0.0
120,C121,Course 121,1,3.0
121,C122,Course 122,1,0.0
122,C123,Course 123,1,3.0
123,C124,Course 124,0,1.0
124,C125,Course 125,1,
125,C126,Course 126,0,2.0
126,C127,Course 127,1,3.0
127,C128,Course 128,1,0.0
128,C129,Course 129,0,1.0
129,C130,Course 130,0,3.0
130,C131,Course 131,1,0.0
131,C132,Course 132,0,2.0
132,C133,Course 133,0,2.0
133,C134,Course 134,1,2.0
134,C135,Course 135,0,
135,C136,Course 136,1,2.0
136,C137,Course 137,1,
137,C138,Course 138,0,
138,C139,Course 139,1,
139,C140,Course 140,1,2.0
140,C141,Course 141,1,3.0
141,C142,Course 142,1,0.0
142,C143,Course 143,0,3.0
143,C144,Course 144,0,
144,C145,Course 145,1,0.0
145,C146,Course 146,0,1.0
146,C147,Course 147,0,
147,C148,Course 148,1,2.0
148,C149,Course 149,0,0.0
149,C150,Course 150,1,1.0
150,C151,Course 151,0,
151,C152,Course 152,0,1.0
152,C153,Course 153,1,3.0
153,C154,Course 154,1,2.0
154,C155,Course 155,0,2.0
155,C156,Course 156,0,
156,C157,Course 157,1,1.0
157,C158,Course 158,1,3.0
158,C159,Course 159,1,
159,C160,Course 160,1,2.0
160,C161,Course 161,0,3.0
161,C162,Course 162,1,1.0
162,C163,Course 163,1,2.0
163,C164,Course 164,0,0.0
164,C165,Course 165,1,
165,C166,Course 166,0,3.0
166,C167,Course 167,1,2.0
167,C168,Course 168,0,2.0
168,C169,Course 169,1,2.0
169,C170,Course 170,1,1.0
170,C171,Course 171,1,2.0
171,C172,Course 172,0,1.0
172,C173,Course 173,1,2.0
173,C174,Course 174,0,3.0
174,C175,Course 175,0,
175,C176,Course 176,1,
176,C177,Course 177,0,1.0
177,C178,Course 178,1,3.0
178,C179,Course 179,1,2.0
179,C180,Course 180,0,0.0
180,C181,Course 181,1,
181,C182,Course 182,0,
182,C183,Course 183,0,1.0
183,C184,Course 184,0,1.0
184,C185,Course 185,1,1.0
185,C186,Course 186,1,1.0
186,C187,Course 187,1,1.0
187,C188,Course 188,0,2.0
188,C189,Course 189,1,3.0
189,C190,Course 190,0,2.0
190,C191,Course 191,1,
191,C192,Course 192,1,2.0
192,C193,Course 193,0,3.0
193,C194,Course 194,1,
194,C195,Course 195,1,
195,C196,Course 196,0,
196,C197,Course 197,1,1.0
197,C198,Course 198,1,0.0
198,C199,Course 199,1,0.0
199,C200,Course 200,1,3.0
200,C201,Course 201,1,1.0
201,C202,Course 202,1,1.0
202,C203,Course 203,0,
203,C204,Course 204,1,1.0
204,C205,Course 205,1,0.0
205,C206,Course 206,1,0.0
206,C207,Course 207,1,2.0
207,C208,Course 208,1,3.0
208,C209,Course 209,0,0.0
209,C210,Course 210,1,0.0
210,C211,Course 211,1,0.0
211,C212,Course 212,0,
212,C213,Course 213,1,2.0
213,C214,Course 214,0,
214,C215,Course 215,0,
215,C216,Course 216,1,0.0
216,C217,Course 217,1,
217,C218,Course 218,1,3.0
218,C219,Course 219,1,1.0
219,C220,Course 220,0,1.0
220,C221,Course 221,1,2.0
221,C222,Course 222,1,0.0
222,C223,Course 223,1,0.0
223,C224,Course 224,0,
224,C225,Course 225,0,1.0
225,C226,Course 226,1,3.0
226,C227,Course 227,1,
227,C228,Course 228,0,2.0
228,C229,Course 229,1,1.0
229,C230,Course 230,0,2.0
230,C231,Course 231,1,1.0
231,C232,Course 232,1,0.0
232,C233,Course 233,0,
233,C234,Course 234,0,
234,C235,Course 235,0,0.0
235,C236,Course 236,1,1.0
236,C237,Course 237,1,3.0
237,C238,Course 238,1,0.0
238,C239,Course 239,1,2.0
239,C240,Course 240,0,2.0
240,C241,Course 241,0,
241,C242,Course 242,1,3.0
242,C243,Course 243,1,
243,C244,Course 244,1,1.0
244,C245,Course 245,0,2.0
245,C246,Course 246,0,0.0
246,C247,Course 247,1,3.0
247,C248,Course 248,0,
248,C249,Course 249,0,2.0
249,C250,Course 250,0,3.0
250,C251,Course 251,1,
251,C252,Course 252,0,3.0
252,C253,Course 253,1,2.0
253,C254,Course 254,0,0.0
254,C255,Course 255,0,1.0
255,C256,Course 256,1,0.0
256,C257,Course 257,0,2.0
257,C258,Course 258,1,1.0
258,C259,Course 259,0,3.0
259,C260,Course 260,0,3.0
260,C261,Course 261,0,
261,C262,Course 262,0,3.0
262,C263,Course 263,1,1.0
263,C264,Course 264,1,
264,C265,Course 265,0,0.0
265,C266,Course 266,1,
266,C267,Course 267,1,2.0
267,C268,Course 268,1,
268,C269,Course 269,0,0.0
269,C270,Course 270,1,1.0
270,C271,Course 271,0,2.0
271,C272,Course 272,0,3.0
272,C273,Course 273,1,1.0
273,C274,Course 274,1,3.0
274,C275,Course 275,1,
275,C276,Course 276,0,2.0
276,C277,Course 277,1,2.0
277,C278,Course 278,1,0.0
278,C279,Course 279,1,1.0
279,C280,Course 280,1,3.0
280,C281,Course 281,1,2.0
281,C282,Course 282,1,3.0
282,C283,Course 283,1,0.0
283,C284,Course 284,1,3.0
284,C285,Course 285,0,
285,C286,Course 286,0,
286,C287,Course 287,0,2.0
287,C288,Course 288,1,3.0
288,C289,Course 289,1,1.0
289,C290,Course 290,0,1.0
290,C291,Course 291,1,
291,C292,Course 292,0,0.0
292,C293,Course 293,0,3.0
293,C294,Course 294,0,1.0
294,C295,Course 295,0,0.0
295,C296,Course 296,0,0.0
296,C297,Course 297,1,1.0
297,C298,Course 298,1,0.0
298,C299,Course 299,0,
299,C300,Course 300,1,
300,C301,Course 301,1,
301,C302,Course 302,1,2.0
302,C303,Course 303,1,
303,C304,Course 304,1,3.0
304,C305,Course 305,1,2.0
305,C306,Course 306,1,
306,C307,Course 307,0,3.0
307,C308,Course 308,0,3.0
308,C309,Course 309,0,2.0
309,C310,Course 310,1,0.0
310,C311,Course 311,1,1.0
311,C312,Course 312,1,2.0
312,C313,Course 313,0,0.0
313,C314,Course 314,1,2.0
314,C315,Course 315,0,2.0
315,C316,Course 316,1,
316,C317,Course 317,1,0.0
317,C318,Course 318,0,1.0
318,C319,Course 319,0,0.0
319,C320,Course 320,0,
320,C321,Course 321,1,2.0
321,C322,Course 322,0,3.0
322,C323,Course 323,0,0.0
323,C324,Course 324,0,2.0
324,C325,Course 325,1,2.0
325,C326,Course 326,1,
326,C327,Course 327,0,
327,C328,Course 328,0,2.0
328,C329,Course 329,1,1.0
329,C330,Course 330,0,1.0
330,C331,Course 331,0,2.0
331,C332,Course 332,0,1.0
332,C333,Course 333,1,0.0
333,C334,Course 334,1,0.0
334,C335,Course 335,0,3.0
335,C336,Course 336,1,1.0
336,C337,Course 337,1,2.0
337,C338,Course 338,0,3.0
338,C339,Course 339,0,
339,C340,Course 340,0,2.0
340,C341,Course 341,0,0.0
341,C342,Course 342,0,2.0
342,C343,Course 343,0,
343,C344,Course 344,1,3.0
344,C345,Course 345,0,0.0
345,C346,Course 346,1,
346,C347,Course 347,0,3.0
347,C348,Course 348,1,0.0
348,C349,Course 349,1,1.0
349,C350,Course 350,1,3.0
350,C351,Course 351,0,2.0
351,C352,Course 352,1,0.0
352,C353,Course 353,1,3.0
353,C354,Course 354,0,1.0
