,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
0,C01,1.0,,,,,,,,,
1,C02,4.0,,,,,,,,,
2,C03,3.0,2.0,,,,,,,,
3,C04,3.0,4.0,,,,,,,,
4,C05,,3.0,2.0,,,,,,,
5,C06,,3.0,3.0,,,,,,,
6,C07,,,2.0,1.0,,,,,,
7,C08,,,4.0,4.0,,,,,,
8,C09,,,,2.0,3.0,,,,,
9,C10,,,,4.0,2.0,,,,,
10,C11,,,,,1.0,2.0,,,,
11,C12,,,,,3.0,3.0,,,,
12,C13,,,,,,2.0,1.0,,,
13,C14,,,,,,1.0,1.0,,,
14,C15,,,,,,,2.0,1.0,,
15,C16,,,,,,,1.0,1.0,,
16,C17,,,,,,,,2.0,2.0,
17,C18,,,,,,,,2.0,3.0,
18,C19,,,,,,,,,1.0,1.0
19,C20,,,,,,,,,4.0,3.0
