,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18
0,C01,4.0,,,,,,,,,,,,,,,,,
1,C02,1.0,,,,,,,,,,,,,,,,,
2,C03,1.0,3.0,,,,,,,,,,,,,,,,
3,C04,4.0,2.0,,,,,,,,,,,,,,,,
4,C05,,2.0,2.0,,,,,,,,,,,,,,,
5,C06,,1.0,2.0,,,,,,,,,,,,,,,
6,C07,,,3.0,1.0,,,,,,,,,,,,,,
7,C08,,,3.0,3.0,,,,,,,,,,,,,,
8,C09,,,,4.0,2.0,,,,,,,,,,,,,
9,C10,,,,4.0,4.0,,,,,,,,,,,,,
10,C11,,,,,2.0,2.0,,,,,,,,,,,,
11,C12,,,,,4.0,2.0,,,,,,,,,,,,
12,C13,,,,,,3.0,1.0,,,,,,,,,,,
13,C14,,,,,,1.0,4.0,,,,,,,,,,,
14,C15,,,,,,,4.0,2.0,,,,,,,,,,
15,C16,,,,,,,3.0,2.0,,,,,,,,,,
16,C17,,,,,,,,3.0,3.0,,,,,,,,,
17,C18,,,,,,,,2.0,3.0,,,,,,,,,
18,C19,,,,,,,,,2.0,3.0,,,,,,,,
19,C20,,,,,,,,,4.0,3.0,,,,,,,,
20,C21,,,,,,,,,,3.0,4.0,,,,,,,
21,C22,,,,,,,,,,4.0,3.0,,,,,,,
22,C23,,,,,,,,,,,3.0,4.0,,,,,,
23,C24,,,,,,,,,,,4.0,3.0,,,,,,
24,C25,,,,,,,,,,,,3.0,1.0,,,,,
25,C26,,,,,,,,,,,,2.0,4.0,,,,,
26,C27,,,,,,,,,,,,,3.0,3.0,,,,
27,C28,,,,,,,,,,,,,1.0,1.0,,,,
28,C29,,,,,,,,,,,,,,2.0,1.0,,,
29,C30,,,,,,,,,,,,,,1.0,2.0,,,
30,C31,,,,,,,,,,,,,,,2.0,1.0,,
31,C32,,,,,,,,,,,,,,,1.0,1.0,,
32,C33,,,,,,,,,,,,,,,,2.0,4.0,
33,C34,,,,,,,,,,,,,,,,4.0,1.0,
34,C35,,,,,,,,,,,,,,,,,4.0,1.0
35,C36,,,,,,,,,,,,,,,,,1.0,3.0
