,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14
0,C01,2.0,,,,,,,,,,,,,
1,C02,2.0,,,,,,,,,,,,,
2,C03,4.0,3.0,,,,,,,,,,,,
3,C04,4.0,1.0,,,,,,,,,,,,
4,C05,,4.0,2.0,,,,,,,,,,,
5,C06,,2.0,2.0,,,,,,,,,,,
6,C07,,,4.0,4.0,,,,,,,,,,
7,C08,,,3.0,2.0,,,,,,,,,,
8,C09,,,,2.0,2.0,,,,,,,,,
9,C10,,,,3.0,3.0,,,,,,,,,
10,C11,,,,,2.0,3.0,,,,,,,,
11,C12,,,,,2.0,3.0,,,,,,,,
12,C13,,,,,,4.0,3.0,,,,,,,
13,C14,,,,,,2.0,3.0,,,,,,,
14,C15,,,,,,,4.0,2.0,,,,,,
15,C16,,,,,,,3.0,1.0,,,,,,
16,C17,,,,,,,,3.0,2.0,,,,,
17,C18,,,,,,,,1.0,4.0,,,,,
18,C19,,,,,,,,,3.0,1.0,,,,
19,C20,,,,,,,,,1.0,4.0,,,,
20,C21,,,,,,,,,,1.0,3.0,,,
21,C22,,,,,,,,,,1.0,1.0,,,
22,C23,,,,,,,,,,,1.0,4.0,,
23,C24,,,,,,,,,,,4.0,2.0,,
24,C25,,,,,,,,,,,,3.0,4.0,
25,C26,,,,,,,,,,,,3.0,3.0,
26,C27,,,,,,,,,,,,,2.0,2.0
27,C28,,,,,,,,,,,,,3.0,2.0
