,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11
0,C01,3.0,,,,,,,,,,
1,C02,1.0,,,,,,,,,,
2,C03,3.0,4.0,,,,,,,,,
3,C04,4.0,3.0,,,,,,,,,
4,C05,,2.0,3.0,,,,,,,,
5,C06,,4.0,3.0,,,,,,,,
6,C07,,,3.0,1.0,,,,,,,
7,C08,,,4.0,2.0,,,,,,,
8,C09,,,,1.0,4.0,,,,,,
9,C10,,,,3.0,1.0,,,,,,
10,C11,,,,,4.0,4.0,,,,,
11,C12,,,,,3.0,1.0,,,,,
12,C13,,,,,,2.0,1.0,,,,
13,C14,,,,,,3.0,2.0,,,,
14,C15,,,,,,,1.0,2.0,,,
15,C16,,,,,,,1.0,3.0,,,
16,C17,,,,,,,,4.0,4.0,,
17,C18,,,,,,,,3.0,1.0,,
18,C19,,,,,,,,,2.0,1.0,
19,C20,,,,,,,,,1.0,2.0,
20,C21,,,,,,,,,,2.0,4.0
21,C22,,,,,,,,,,4.0,3.0
