,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
0,C01,4.0,,,,,,,,,,,
1,C02,1.0,,,,,,,,,,,
2,C03,4.0,1.0,,,,,,,,,,
3,C04,2.0,4.0,,,,,,,,,,
4,C05,,2.0,1.0,,,,,,,,,
5,C06,,2.0,1.0,,,,,,,,,
6,C07,,,2.0,3.0,,,,,,,,
7,C08,,,1.0,1.0,,,,,,,,
8,C09,,,,2.0,1.0,,,,,,,
9,C10,,,,3.0,4.0,,,,,,,
10,C11,,,,,1.0,2.0,,,,,,
11,C12,,,,,1.0,3.0,,,,,,
12,C13,,,,,,4.0,3.0,,,,,
13,C14,,,,,,2.0,4.0,,,,,
14,C15,,,,,,,4.0,4.0,,,,
15,C16,,,,,,,2.0,3.0,,,,
16,C17,,,,,,,,2.0,1.0,,,
17,C18,,,,,,,,2.0,2.0,,,
18,C19,,,,,,,,,4.0,1.0,,
19,C20,,,,,,,,,3.0,2.0,,
20,C21,,,,,,,,,,2.0,2.0,
21,C22,,,,,,,,,,1.0,4.0,
22,C23,,,,,,,,,,,2.0,1.0
23,C24,,,,,,,,,,,1.0,3.0
