,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,3
1,T02,Teacher 02,2
2,T03,Teacher 03,3
3,T04,Teacher 04,2
4,T05,Teacher 05,1
5,T06,Teacher 06,3
6,T07,Teacher 07,2
7,T08,Teacher 08,2
8,T09,Teacher 09,3
9,T10,Teacher 10,1
10,T11,Teacher 11,1
11,T12,Teacher 12,0
12,T13,Teacher 13,3
13,T14,Teacher 14,1
14,T15,Teacher 15,0
15,T16,Teacher 16,2
16,T17,Teacher 17,3
17,T18,Teacher 18,1
18,T19,Teacher 19,2
19,T20,Teacher 20,1
20,T21,Teacher 21,1
21,T22,Teacher 22,0
22,T23,Teacher 23,2
23,T24,Teacher 24,1
24,T25,Teacher 25,0
25,T26,Teacher 26,3
26,T27,Teacher 27,2
27,T28,Teacher 28,3
28,T29,Teacher 29,3
29,T30,Teacher 30,3
30,T31,Teacher 31,0
31,T32,Teacher 32,3
32,T33,Teacher 33,1
33,T34,Teacher 34,3
34,T35,Teacher 35,1
35,T36,Teacher 36,2
36,T37,Teacher 37,0
37,T38,Teacher 38,1
38,T39,Teacher 39,1
39,T40,Teacher 40,1
40,T41,Teacher 41,0
41,T42,Teacher 42,2
42,T43,Teacher 43,1
43,T44,Teacher 44,1
44,T45,Teacher 45,3
45,T46,Teacher 46,3
46,T47,Teacher 47,2
47,T48,Teacher 48,3
48,T49,Teacher 49,0
49,T50,Teacher 50,0
50,T51,Teacher 51,0
51,T52,Teacher 52,1
52,T53,Teacher 53,0
53,T54,Teacher 54,3
54,T55,Teacher 55,1
55,T56,Teacher 56,0
56,T57,Teacher 57,1
57,T58,Teacher 58,0
58,T59,Teacher 59,0
59,T60,Teacher 60,1
60,T61,Teacher 61,0
61,T62,Teacher 62,3
62,T63,Teacher 63,1
63,T64,Teacher 64,3
64,T65,Teacher 65,0
65,T66,Teacher 66,2
66,T67,Teacher 67,1
67,T68,Teacher 68,3
68,T69,Teacher 69,1
69,T70,Teacher 70,3
70,T71,Teacher 71,1
71,T72,Teacher 72,0
72,T73,Teacher 73,1
73,T74,Teacher 74,1
74,T75,Teacher 75,1
75,T76,Teacher 76,3
76,T77,Teacher 77,1
77,T78,Teacher 78,2
78,T79,Teacher 79,3
79,T80,Teacher 80,0
80,T81,Teacher 81,1
81,T82,Teacher 82,0
82,T83,Teacher 83,0
83,T84,Teacher 84,0
84,T85,Teacher 85,1
85,T86,Teacher 86,3
86,T87,Teacher 87,2
87,T88,Teacher 88,0
